probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1652472,braf,GSM4003414,MN,100.3774,319.492129,91.84338302,-2.385743227
ILMN_1652472,braf,GSM4003417,MN,95.66896,319.492129,91.84338302,-2.437009196
ILMN_1652472,braf,GSM4003430,MN,336.8928,319.492129,91.84338302,0.189460257
ILMN_1652472,braf,GSM4003452,MN,373.5663,319.492129,91.84338302,0.588765017
ILMN_1652472,braf,GSM4003455,MN,365.6648,319.492129,91.84338302,0.50273269
ILMN_1652472,braf,GSM4003456,MN,392.9515,319.492129,91.84338302,0.799833026
ILMN_1652472,braf,GSM4003457,MN,389.4482,319.492129,91.84338302,0.761688743
ILMN_1652472,braf,GSM4003458,MN,385.6571,319.492129,91.84338302,0.720410865
ILMN_1652472,braf,GSM4003459,MN,373.0364,319.492129,91.84338302,0.582995413
ILMN_1652472,braf,GSM4003461,MN,346.1681,319.492129,91.84338302,0.290450658
ILMN_1652472,braf,GSM4003472,MN,337.057,319.492129,91.84338302,0.191248084
ILMN_1652472,braf,GSM4003474,MN,356.6954,319.492129,91.84338302,0.40507296
ILMN_1652472,braf,GSM4003476,MN,307.6741,319.492129,91.84338302,-0.12867589
ILMN_1652472,braf,GSM4003477,MN,388.4651,319.492129,91.84338302,0.750984651
ILMN_1652472,braf,GSM4003479,MN,371.7881,319.492129,91.84338302,0.569403797
ILMN_1652472,braf,GSM4003480,MN,352.3307,319.492129,91.84338302,0.357549667
ILMN_1652472,braf,GSM4003492,MN,381.202,319.492129,91.84338302,0.671903288
ILMN_1652472,braf,GSM4003500,MN,360.6108,319.492129,91.84338302,0.447704229
ILMN_1652472,braf,GSM4003501,MN,278.8619,319.492129,91.84338302,-0.442386024
ILMN_1652472,braf,GSM4003502,MN,335.6761,319.492129,91.84338302,0.176212705
ILMN_1652472,braf,GSM4003503,MN,326.0082,319.492129,91.84338302,0.070947637
ILMN_1652472,braf,GSM4003512,MN,312.3063,319.492129,91.84338302,-0.07824003
ILMN_1652472,braf,GSM4003513,MN,332.3402,319.492129,91.84338302,0.13989109
ILMN_1652472,braf,GSM4003514,MN,275.1662,319.492129,91.84338302,-0.482625177
ILMN_1652472,braf,GSM4003515,MN,508.9289,319.492129,91.84338302,2.062606633
ILMN_1652472,braf,GSM4003539,MN,343.5503,319.492129,91.84338302,0.261947788
ILMN_1652472,braf,GSM4003540,MN,397.7343,319.492129,91.84338302,0.851908634
ILMN_1652472,braf,GSM4003542,MN,354.7401,319.492129,91.84338302,0.383783456
ILMN_1652472,braf,GSM4003543,MN,325.1508,319.492129,91.84338302,0.061612179
ILMN_1652472,braf,GSM4003545,MN,343.64,319.492129,91.84338302,0.26292445
ILMN_1652472,braf,GSM4003547,MN,346.712,319.492129,91.84338302,0.296372695
ILMN_1652472,braf,GSM4003549,MN,326.4209,319.492129,91.84338302,0.075441156
ILMN_1652472,braf,GSM4003550,MN,303.058,319.492129,91.84338302,-0.178936451
ILMN_1652472,braf,GSM4003553,MN,355.4675,319.492129,91.84338302,0.391703461
ILMN_1652472,braf,GSM4003555,MN,408.425,319.492129,91.84338302,0.968310052
ILMN_1652472,braf,GSM4003556,MN,334.0769,319.492129,91.84338302,0.158800455
ILMN_1652472,braf,GSM4003557,MN,365.7498,319.492129,91.84338302,0.503658178
ILMN_1652472,braf,GSM4003561,MN,368.2142,319.492129,91.84338302,0.530490814
ILMN_1652472,braf,GSM4003563,MN,379.739,319.492129,91.84338302,0.655973996
ILMN_1652472,braf,GSM4003568,MN,368.3994,319.492129,91.84338302,0.53250729
ILMN_1652472,braf,GSM4003572,MN,312.5888,319.492129,91.84338302,-0.075164141
ILMN_1652472,braf,GSM4003622,MN,499.0151,319.492129,91.84338302,1.95466418
ILMN_1652472,braf,GSM4003627,MN,273.6084,319.492129,91.84338302,-0.499586661
ILMN_1652472,braf,GSM4003653,MN,247.8323,319.492129,91.84338302,-0.780239432
ILMN_1652472,braf,GSM4003675,MN,207.8806,319.492129,91.84338302,-1.215237564
ILMN_1652472,braf,GSM4003730,MN,239.3328,319.492129,91.84338302,-0.872782844
ILMN_1652472,braf,GSM4003739,MN,223.0938,319.492129,91.84338302,-1.049594711
ILMN_1652472,braf,GSM4003740,MN,230.4277,319.492129,91.84338302,-0.969742469
ILMN_1652472,braf,GSM4003754,MN,199.698,319.492129,91.84338302,-1.304330536
ILMN_1652472,braf,GSM4003758,MN,198.2548,319.492129,91.84338302,-1.320044243
ILMN_1652472,braf,GSM4003784,MN,148.1541,319.492129,91.84338302,-1.865545708
ILMN_1652472,braf,GSM4003787,MN,176.989,319.492129,91.84338302,-1.551588414
ILMN_1652472,braf,GSM4003789,MN,413.3745,319.492129,91.84338302,1.022200706
ILMN_1652472,braf,GSM4003790,MN,385.4836,319.492129,91.84338302,0.718521779
ILMN_1652472,braf,GSM4003791,MN,443.6854,319.492129,91.84338302,1.352228837
ILMN_1652472,braf,GSM4003792,MN,466.2329,319.492129,91.84338302,1.597728287
ILMN_1652472,braf,GSM4003793,MN,466.1808,319.492129,91.84338302,1.597161017
ILMN_1652472,braf,GSM4003831,MN,398.4042,319.492129,91.84338302,0.859202573
ILMN_1652472,braf,GSM4003834,MN,334.0867,319.492129,91.84338302,0.158907158
ILMN_1652472,braf,GSM4003465,NN,363.3915,383.5986412,43.06818356,-0.469189539
ILMN_1652472,braf,GSM4003467,NN,378.8299,383.5986412,43.06818356,-0.110725384
ILMN_1652472,braf,GSM4003468,NN,373.3985,383.5986412,43.06818356,-0.236837041
ILMN_1652472,braf,GSM4003483,NN,354.4937,383.5986412,43.06818356,-0.675787525
ILMN_1652472,braf,GSM4003486,NN,359.907,383.5986412,43.06818356,-0.550096132
ILMN_1652472,braf,GSM4003490,NN,339.61,383.5986412,43.06818356,-1.021372102
ILMN_1652472,braf,GSM4003504,NN,321.7769,383.5986412,43.06818356,-1.435438787
ILMN_1652472,braf,GSM4003508,NN,333.0886,383.5986412,43.06818356,-1.172792465
ILMN_1652472,braf,GSM4003582,NN,388.6768,383.5986412,43.06818356,0.117909752
ILMN_1652472,braf,GSM4003587,NN,414.8127,383.5986412,43.06818356,0.72475912
ILMN_1652472,braf,GSM4003590,NN,423.0397,383.5986412,43.06818356,0.915781804
ILMN_1652472,braf,GSM4003591,NN,405.2001,383.5986412,43.06818356,0.501564195
ILMN_1652472,braf,GSM4003596,NN,350.6421,383.5986412,43.06818356,-0.765217812
ILMN_1652472,braf,GSM4003599,NN,437.2473,383.5986412,43.06818356,1.245668017
